cluster_id,prompt_idx,prompt_id,cluster_mean_effect,cluster_mean_abs_effect,positive_agreement,negative_agreement,topk_support_count,topk_support_fraction,level,group_id,cue_label,relation_type,latent_state_target,correct_answer,is_anchor,is_kw_variant,is_auxiliary,inference_steps,difficulty
0,0,L1-A1-v01,0.0625,0.0625,0.8,0.0,0.0,0.0,1,L1-A1,emitted_charge_plus2,,alpha,alpha,False,False,False,1,easy
0,1,L1-A1-v02,-0.3125,0.3125,0.0,1.0,0.0,0.0,1,L1-A1,emitted_charge_plus2,,alpha,alpha,False,False,False,1,easy
0,2,L1-A1-v03,-0.3125,0.3125,0.0,1.0,0.0,0.0,1,L1-A1,emitted_charge_plus2,,alpha,alpha,False,False,False,1,easy
0,3,L1-A1-v04,-0.4375,0.4375,0.0,1.0,0.0,0.0,1,L1-A1,emitted_charge_plus2,,alpha,alpha,False,False,False,1,easy
0,4,L1-A1-v05,-0.35,0.35,0.0,1.0,0.0,0.0,1,L1-A1,emitted_charge_plus2,,alpha,alpha,False,False,False,1,easy
0,5,L1-A1-v06,-0.25,0.25,0.0,1.0,0.0,0.0,1,L1-A1,emitted_charge_plus2,,alpha,alpha,False,False,False,1,easy
0,6,L1-A1-v07,0.3,0.3,1.0,0.0,0.0,0.0,1,L1-A1,emitted_charge_plus2,,alpha,alpha,False,False,False,1,easy
0,7,L1-A1-v08,-0.4375,0.4375,0.0,1.0,0.0,0.0,1,L1-A1,emitted_charge_plus2,,alpha,alpha,False,False,False,1,easy
0,8,L1-A1-v09,-0.2,0.2,0.0,1.0,0.0,0.0,1,L1-A1,emitted_charge_plus2,,alpha,alpha,False,False,False,1,easy
0,9,L1-A1-v10,-0.3125,0.3125,0.0,1.0,0.0,0.0,1,L1-A1,emitted_charge_plus2,,alpha,alpha,False,False,False,1,easy
0,10,L1-A1-v11,-0.3625,0.3625,0.0,1.0,0.0,0.0,1,L1-A1,emitted_charge_plus2,,alpha,alpha,False,False,False,1,easy
0,11,L1-A1-v12,-0.3625,0.3625,0.0,1.0,0.0,0.0,1,L1-A1,emitted_charge_plus2,,alpha,alpha,False,False,False,1,easy
0,12,L1-A2-v01,0.1625,0.1625,1.0,0.0,0.0,0.0,1,L1-A2,emitted_mass4,,alpha,alpha,False,False,False,1,easy
0,13,L1-A2-v02,-0.225,0.225,0.0,1.0,0.0,0.0,1,L1-A2,emitted_mass4,,alpha,alpha,False,False,False,1,easy
0,14,L1-A2-v03,0.0,0.05,0.2,0.4,0.0,0.0,1,L1-A2,emitted_mass4,,alpha,alpha,False,False,False,1,easy
0,15,L1-A2-v04,-0.1375,0.1375,0.0,1.0,0.0,0.0,1,L1-A2,emitted_mass4,,alpha,alpha,False,False,False,1,easy
0,16,L1-A2-v05,0.0125,0.0375,0.2,0.2,0.0,0.0,1,L1-A2,emitted_mass4,,alpha,alpha,False,False,False,1,easy
